Instrument,Tank,Time,DateTime,  BV (Volts),Temperature,DO,  Q ()
MiniDot1,Tank24,1773743520,3/17/26 0:32,2.69,18.841,8.428,0.946
MiniDot1,Tank24,1773743640,3/17/26 0:34,2.69,18.858,8.432,0.946
MiniDot1,Tank24,1773743760,3/17/26 0:36,2.69,18.858,8.423,0.946
MiniDot1,Tank24,1773743880,3/17/26 0:38,2.69,18.858,8.425,0.945
MiniDot1,Tank24,1773744000,3/17/26 0:40,2.69,18.875,8.426,0.946
MiniDot1,Tank24,1773744120,3/17/26 0:42,2.69,18.892,8.419,0.946
MiniDot1,Tank24,1773744240,3/17/26 0:44,2.69,18.892,8.411,0.945
MiniDot1,Tank24,1773744360,3/17/26 0:46,2.69,18.9,8.425,0.946
MiniDot1,Tank24,1773744480,3/17/26 0:48,2.69,18.908,8.414,0.946
MiniDot1,Tank24,1773744600,3/17/26 0:50,2.69,18.908,8.407,0.945
MiniDot1,Tank24,1773744720,3/17/26 0:52,2.69,18.9,8.398,0.945
MiniDot1,Tank24,1773744840,3/17/26 0:54,2.69,18.9,8.41,0.945
MiniDot1,Tank24,1773744960,3/17/26 0:56,2.69,18.917,8.415,0.946
MiniDot1,Tank24,1773745080,3/17/26 0:58,2.69,18.934,8.42,0.946
MiniDot1,Tank24,1773745200,3/17/26 1:00,2.69,18.934,8.407,0.945
MiniDot1,Tank24,1773745320,3/17/26 1:02,2.69,18.934,8.422,0.946
MiniDot1,Tank24,1773745440,3/17/26 1:04,2.69,18.942,8.408,0.945
MiniDot1,Tank24,1773745560,3/17/26 1:06,2.69,18.942,8.417,0.946
MiniDot1,Tank24,1773745680,3/17/26 1:08,2.69,18.959,8.397,0.945
MiniDot1,Tank24,1773745800,3/17/26 1:10,2.69,18.975,8.402,0.946
MiniDot1,Tank24,1773745920,3/17/26 1:12,2.69,18.967,8.396,0.945
MiniDot1,Tank24,1773746040,3/17/26 1:14,2.69,18.975,8.406,0.946
MiniDot1,Tank24,1773746160,3/17/26 1:16,2.69,18.975,8.42,0.946
MiniDot1,Tank24,1773746280,3/17/26 1:18,2.69,18.984,8.402,0.946
MiniDot1,Tank24,1773746400,3/17/26 1:20,2.69,18.992,8.419,0.946
MiniDot1,Tank24,1773746520,3/17/26 1:22,2.69,19.001,8.395,0.945
MiniDot1,Tank24,1773746640,3/17/26 1:24,2.69,19.001,8.4,0.946
MiniDot1,Tank24,1773746760,3/17/26 1:26,2.69,19.017,8.401,0.946
MiniDot1,Tank24,1773746880,3/17/26 1:28,2.69,19.017,8.388,0.945
MiniDot1,Tank24,1773747000,3/17/26 1:30,2.69,19.026,8.393,0.945
MiniDot1,Tank24,1773747120,3/17/26 1:32,2.69,19.017,8.42,0.947
MiniDot1,Tank24,1773747240,3/17/26 1:34,2.69,19.017,8.393,0.946
MiniDot1,Tank24,1773747360,3/17/26 1:36,2.69,19.026,8.405,0.946
MiniDot1,Tank24,1773747480,3/17/26 1:38,2.69,19.026,8.405,0.946
MiniDot1,Tank24,1773747600,3/17/26 1:40,2.69,19.034,8.395,0.946
MiniDot1,Tank24,1773747720,3/17/26 1:42,2.69,19.043,8.384,0.945
MiniDot1,Tank24,1773747840,3/17/26 1:44,2.69,19.059,8.389,0.946
MiniDot1,Tank24,1773747960,3/17/26 1:46,2.69,19.076,8.389,0.946
MiniDot1,Tank24,1773748080,3/17/26 1:48,2.69,19.068,8.388,0.946
MiniDot1,Tank24,1773748200,3/17/26 1:50,2.69,19.085,8.366,0.945
MiniDot1,Tank24,1773748320,3/17/26 1:52,2.69,19.085,8.376,0.945
MiniDot1,Tank24,1773748440,3/17/26 1:54,2.69,19.085,8.374,0.945
MiniDot1,Tank24,1773748560,3/17/26 1:56,2.69,19.085,8.385,0.946
MiniDot1,Tank24,1773748680,3/17/26 1:58,2.69,19.085,8.379,0.946
MiniDot1,Tank24,1773748800,3/17/26 2:00,2.69,19.093,8.372,0.945
MiniDot1,Tank24,1773748920,3/17/26 2:02,2.69,19.093,8.378,0.946
MiniDot1,Tank24,1773749040,3/17/26 2:04,2.69,19.101,8.382,0.946
MiniDot1,Tank24,1773749160,3/17/26 2:06,2.69,19.085,8.386,0.946
MiniDot1,Tank24,1773749280,3/17/26 2:08,2.69,19.118,8.367,0.945
MiniDot1,Tank24,1773749400,3/17/26 2:10,2.69,19.11,8.364,0.945
MiniDot1,Tank24,1773749520,3/17/26 2:12,2.69,19.118,8.363,0.945
MiniDot1,Tank24,1773749640,3/17/26 2:14,2.69,19.118,8.367,0.946
MiniDot1,Tank24,1773749760,3/17/26 2:16,2.69,19.135,8.375,0.946
MiniDot1,Tank24,1773749880,3/17/26 2:18,2.69,19.152,8.37,0.946
MiniDot1,Tank24,1773750000,3/17/26 2:20,2.69,19.127,8.354,0.945
MiniDot1,Tank24,1773750120,3/17/26 2:22,2.69,19.152,8.36,0.946
MiniDot1,Tank24,1773750240,3/17/26 2:24,2.69,19.168,8.351,0.946
MiniDot1,Tank24,1773750360,3/17/26 2:26,2.69,19.16,8.364,0.947
MiniDot1,Tank24,1773750480,3/17/26 2:28,2.69,19.143,8.354,0.945
MiniDot1,Tank24,1773750600,3/17/26 2:30,2.69,19.16,8.364,0.947
MiniDot1,Tank24,1773750720,3/17/26 2:32,2.69,19.16,8.369,0.947
MiniDot1,Tank24,1773750840,3/17/26 2:34,2.69,19.168,8.359,0.946
MiniDot1,Tank24,1773750960,3/17/26 2:36,2.69,19.185,8.353,0.946
MiniDot1,Tank24,1773751080,3/17/26 2:38,2.69,19.168,8.353,0.945
MiniDot1,Tank24,1773751200,3/17/26 2:40,2.69,19.194,8.353,0.946
MiniDot1,Tank24,1773751320,3/17/26 2:42,2.69,19.185,8.343,0.946
MiniDot1,Tank24,1773751440,3/17/26 2:44,2.69,19.202,8.345,0.946
MiniDot1,Tank24,1773751560,3/17/26 2:46,2.69,19.202,8.343,0.946
MiniDot1,Tank24,1773751680,3/17/26 2:48,2.69,19.194,8.347,0.946
MiniDot1,Tank24,1773751800,3/17/26 2:50,2.69,19.202,8.346,0.946
MiniDot1,Tank24,1773751920,3/17/26 2:52,2.69,19.219,8.355,0.946
MiniDot1,Tank24,1773752040,3/17/26 2:54,2.69,19.227,8.35,0.946
MiniDot1,Tank24,1773752160,3/17/26 2:56,2.69,19.227,8.352,0.946
MiniDot1,Tank24,1773752280,3/17/26 2:58,2.69,19.227,8.354,0.946
MiniDot1,Tank24,1773752400,3/17/26 3:00,2.69,19.227,8.347,0.946
MiniDot1,Tank24,1773752520,3/17/26 3:02,2.69,19.244,8.344,0.946
MiniDot1,Tank24,1773752640,3/17/26 3:04,2.69,19.244,8.336,0.945
MiniDot1,Tank24,1773752760,3/17/26 3:06,2.69,19.236,8.351,0.946
MiniDot1,Tank24,1773752880,3/17/26 3:08,2.69,19.261,8.343,0.946
MiniDot1,Tank24,1773753000,3/17/26 3:10,2.69,19.244,8.338,0.945
MiniDot1,Tank24,1773753120,3/17/26 3:12,2.69,19.252,8.349,0.946
MiniDot1,Tank24,1773753240,3/17/26 3:14,2.69,19.269,8.337,0.946
MiniDot1,Tank24,1773753360,3/17/26 3:16,2.69,19.261,8.343,0.946
MiniDot1,Tank24,1773753480,3/17/26 3:18,2.69,19.252,8.347,0.946
MiniDot1,Tank24,1773753600,3/17/26 3:20,2.69,19.269,8.339,0.946
MiniDot1,Tank24,1773753720,3/17/26 3:22,2.69,19.286,8.342,0.946
MiniDot1,Tank24,1773753840,3/17/26 3:24,2.69,19.269,8.354,0.946
MiniDot1,Tank24,1773753960,3/17/26 3:26,2.69,19.278,8.354,0.946
MiniDot1,Tank24,1773754080,3/17/26 3:28,2.69,19.294,8.338,0.946
MiniDot1,Tank24,1773754200,3/17/26 3:30,2.69,19.286,8.353,0.946
MiniDot1,Tank24,1773754320,3/17/26 3:32,2.69,19.286,8.344,0.946
MiniDot1,Tank24,1773754440,3/17/26 3:34,2.69,19.303,8.349,0.946
MiniDot1,Tank24,1773754560,3/17/26 3:36,2.69,19.294,8.344,0.946
MiniDot1,Tank24,1773754680,3/17/26 3:38,2.69,19.328,8.34,0.947
MiniDot1,Tank24,1773754800,3/17/26 3:40,2.69,19.311,8.338,0.946
MiniDot1,Tank24,1773754920,3/17/26 3:42,2.69,19.311,8.341,0.946
MiniDot1,Tank24,1773755040,3/17/26 3:44,2.69,19.311,8.334,0.946
MiniDot1,Tank24,1773755160,3/17/26 3:46,2.69,19.311,8.338,0.946
MiniDot1,Tank24,1773755280,3/17/26 3:48,2.69,19.336,8.331,0.945
MiniDot1,Tank24,1773755400,3/17/26 3:50,2.69,19.345,8.329,0.946
MiniDot1,Tank24,1773755520,3/17/26 3:52,2.69,19.319,8.34,0.946
MiniDot1,Tank24,1773755640,3/17/26 3:54,2.69,19.328,8.336,0.946
MiniDot1,Tank24,1773755760,3/17/26 3:56,2.69,19.345,8.332,0.946
MiniDot1,Tank24,1773755880,3/17/26 3:58,2.69,19.328,8.344,0.947
MiniDot1,Tank24,1773756000,3/17/26 4:00,2.69,19.345,8.335,0.946
MiniDot1,Tank24,1773756120,3/17/26 4:02,2.69,19.345,8.333,0.946
MiniDot1,Tank24,1773756240,3/17/26 4:04,2.69,19.345,8.334,0.946
MiniDot1,Tank24,1773756360,3/17/26 4:06,2.69,19.345,8.329,0.946
MiniDot1,Tank24,1773756480,3/17/26 4:08,2.69,19.361,8.336,0.946
MiniDot1,Tank24,1773756600,3/17/26 4:10,2.69,19.361,8.328,0.945
MiniDot1,Tank24,1773756720,3/17/26 4:12,2.69,19.37,8.329,0.946
MiniDot1,Tank24,1773756840,3/17/26 4:14,2.69,19.37,8.338,0.947
MiniDot1,Tank24,1773756960,3/17/26 4:16,2.69,19.37,8.332,0.946
MiniDot1,Tank24,1773757080,3/17/26 4:18,2.69,19.378,8.314,0.945
MiniDot1,Tank24,1773757200,3/17/26 4:20,2.69,19.37,8.33,0.946
MiniDot1,Tank24,1773757320,3/17/26 4:22,2.69,19.387,8.331,0.946
MiniDot1,Tank24,1773757440,3/17/26 4:24,2.69,19.378,8.329,0.946
MiniDot1,Tank24,1773757560,3/17/26 4:26,2.69,19.387,8.332,0.946
MiniDot1,Tank24,1773757680,3/17/26 4:28,2.69,19.395,8.326,0.946
MiniDot1,Tank24,1773757800,3/17/26 4:30,2.69,19.387,8.328,0.946
MiniDot1,Tank24,1773757920,3/17/26 4:32,2.69,19.403,8.333,0.947
MiniDot1,Tank24,1773758040,3/17/26 4:34,2.69,19.395,8.328,0.946
MiniDot1,Tank24,1773758160,3/17/26 4:36,2.69,19.395,8.322,0.946
MiniDot1,Tank24,1773758280,3/17/26 4:38,2.69,19.412,8.323,0.946
MiniDot1,Tank24,1773758400,3/17/26 4:40,2.69,19.403,8.316,0.946
MiniDot1,Tank24,1773758520,3/17/26 4:42,2.69,19.395,8.332,0.946
MiniDot1,Tank24,1773758640,3/17/26 4:44,2.69,19.42,8.327,0.946
MiniDot1,Tank24,1773758760,3/17/26 4:46,2.69,19.42,8.345,0.947
MiniDot1,Tank24,1773758880,3/17/26 4:48,2.69,19.428,8.325,0.946
MiniDot1,Tank24,1773759000,3/17/26 4:50,2.69,19.42,8.325,0.946
MiniDot1,Tank24,1773759120,3/17/26 4:52,2.69,19.437,8.321,0.946
MiniDot1,Tank24,1773759240,3/17/26 4:54,2.69,19.437,8.32,0.946
MiniDot1,Tank24,1773759360,3/17/26 4:56,2.69,19.437,8.308,0.945
MiniDot1,Tank24,1773759480,3/17/26 4:58,2.69,19.428,8.325,0.946
MiniDot1,Tank24,1773759600,3/17/26 5:00,2.69,19.42,8.322,0.946
MiniDot1,Tank24,1773759720,3/17/26 5:02,2.69,19.437,8.326,0.947
MiniDot1,Tank24,1773759840,3/17/26 5:04,2.69,19.445,8.32,0.946
MiniDot1,Tank24,1773759960,3/17/26 5:06,2.69,19.454,8.308,0.945
MiniDot1,Tank24,1773760080,3/17/26 5:08,2.69,19.437,8.319,0.946
MiniDot1,Tank24,1773760200,3/17/26 5:10,2.69,19.454,8.321,0.946
MiniDot1,Tank24,1773760320,3/17/26 5:12,2.69,19.445,8.33,0.947
MiniDot1,Tank24,1773760440,3/17/26 5:14,2.69,19.454,8.318,0.946
MiniDot1,Tank24,1773760560,3/17/26 5:16,2.69,19.47,8.326,0.947
MiniDot1,Tank24,1773760680,3/17/26 5:18,2.69,19.454,8.33,0.947
MiniDot1,Tank24,1773760800,3/17/26 5:20,2.69,19.487,8.317,0.946
MiniDot1,Tank24,1773760920,3/17/26 5:22,2.69,19.47,8.325,0.947
MiniDot1,Tank24,1773761040,3/17/26 5:24,2.69,19.479,8.316,0.946
MiniDot1,Tank24,1773761160,3/17/26 5:26,2.69,19.496,8.317,0.946
MiniDot1,Tank24,1773761280,3/17/26 5:28,2.69,19.487,8.311,0.946
MiniDot1,Tank24,1773761400,3/17/26 5:30,2.69,19.479,8.314,0.946
MiniDot1,Tank24,1773761520,3/17/26 5:32,2.69,19.496,8.302,0.945
MiniDot1,Tank24,1773761640,3/17/26 5:34,2.69,19.512,8.308,0.946
MiniDot1,Tank24,1773761760,3/17/26 5:36,2.69,19.504,8.316,0.946
MiniDot1,Tank24,1773761880,3/17/26 5:38,2.69,19.496,8.321,0.947
MiniDot1,Tank24,1773762000,3/17/26 5:40,2.69,19.496,8.325,0.947
MiniDot1,Tank24,1773762120,3/17/26 5:42,2.69,19.496,8.334,0.947
MiniDot1,Tank24,1773762240,3/17/26 5:44,2.69,19.496,8.334,0.947
MiniDot1,Tank24,1773762360,3/17/26 5:46,2.69,19.504,8.32,0.947
MiniDot1,Tank24,1773762480,3/17/26 5:48,2.69,19.512,8.317,0.946
MiniDot1,Tank24,1773762600,3/17/26 5:50,2.69,19.512,8.32,0.946
MiniDot1,Tank24,1773762720,3/17/26 5:52,2.69,19.512,8.322,0.947
MiniDot1,Tank24,1773762840,3/17/26 5:54,2.69,19.529,8.317,0.946
MiniDot1,Tank24,1773762960,3/17/26 5:56,2.69,19.521,8.319,0.946
MiniDot1,Tank24,1773763080,3/17/26 5:58,2.69,19.504,8.316,0.946
MiniDot1,Tank24,1773763200,3/17/26 6:00,2.69,19.521,8.316,0.946
MiniDot1,Tank24,1773763320,3/17/26 6:02,2.69,19.521,8.334,0.947
MiniDot1,Tank24,1773763440,3/17/26 6:04,2.69,19.546,8.309,0.946
MiniDot1,Tank24,1773763560,3/17/26 6:06,2.69,19.537,8.306,0.946
MiniDot1,Tank24,1773763680,3/17/26 6:08,2.69,19.521,8.335,0.947
MiniDot1,Tank24,1773763800,3/17/26 6:10,2.69,19.537,8.303,0.946
MiniDot1,Tank24,1773763920,3/17/26 6:12,2.69,19.554,8.307,0.946
MiniDot1,Tank24,1773764040,3/17/26 6:14,2.69,19.537,8.311,0.946
MiniDot1,Tank24,1773764160,3/17/26 6:16,2.69,19.554,8.306,0.946
MiniDot1,Tank24,1773764280,3/17/26 6:18,2.69,19.546,8.311,0.946
MiniDot1,Tank24,1773764400,3/17/26 6:20,2.69,19.554,8.326,0.947
MiniDot1,Tank24,1773764520,3/17/26 6:22,2.69,19.546,8.297,0.945
MiniDot1,Tank24,1773764640,3/17/26 6:24,2.69,19.563,8.301,0.946
MiniDot1,Tank24,1773764760,3/17/26 6:26,2.69,19.554,8.312,0.946
MiniDot1,Tank24,1773764880,3/17/26 6:28,2.69,19.554,8.308,0.946
MiniDot1,Tank24,1773765000,3/17/26 6:30,2.69,19.563,8.318,0.946
MiniDot1,Tank24,1773765120,3/17/26 6:32,2.69,19.554,8.307,0.946
MiniDot1,Tank24,1773765240,3/17/26 6:34,2.69,19.571,8.303,0.946
MiniDot1,Tank24,1773765360,3/17/26 6:36,2.69,19.554,8.291,0.945
MiniDot1,Tank24,1773765480,3/17/26 6:38,2.69,19.554,8.316,0.947
MiniDot1,Tank24,1773765600,3/17/26 6:40,2.69,19.571,8.299,0.946
MiniDot1,Tank24,1773765720,3/17/26 6:42,2.69,19.554,8.31,0.946
MiniDot1,Tank24,1773765840,3/17/26 6:44,2.69,19.571,8.29,0.945
MiniDot1,Tank24,1773765960,3/17/26 6:46,2.69,19.579,8.3,0.946
MiniDot1,Tank24,1773766080,3/17/26 6:48,2.69,19.588,8.317,0.947
MiniDot1,Tank24,1773766200,3/17/26 6:50,2.69,19.596,8.318,0.947
MiniDot1,Tank24,1773766320,3/17/26 6:52,2.69,19.579,8.312,0.946
MiniDot1,Tank24,1773766440,3/17/26 6:54,2.69,19.579,8.314,0.947
MiniDot1,Tank24,1773766560,3/17/26 6:56,2.69,19.571,8.298,0.946
MiniDot1,Tank24,1773766680,3/17/26 6:58,2.69,19.588,8.3,0.946
MiniDot1,Tank24,1773766800,3/17/26 7:00,2.69,19.604,8.302,0.946
MiniDot1,Tank24,1773766920,3/17/26 7:02,2.69,19.604,8.302,0.947
MiniDot1,Tank24,1773767040,3/17/26 7:04,2.69,19.588,8.305,0.946
MiniDot1,Tank24,1773767160,3/17/26 7:06,2.69,19.613,8.304,0.946
MiniDot1,Tank24,1773767280,3/17/26 7:08,2.69,19.596,8.31,0.946
MiniDot1,Tank24,1773767400,3/17/26 7:10,2.69,19.613,8.296,0.946
MiniDot1,Tank24,1773767520,3/17/26 7:12,2.69,19.621,8.3,0.946
MiniDot1,Tank24,1773767640,3/17/26 7:14,2.69,19.596,8.308,0.946
MiniDot1,Tank24,1773767760,3/17/26 7:16,2.69,19.604,8.31,0.946
MiniDot1,Tank24,1773767880,3/17/26 7:18,2.69,19.604,8.328,0.947
MiniDot1,Tank24,1773768000,3/17/26 7:20,2.69,19.613,8.3,0.946
MiniDot1,Tank24,1773768120,3/17/26 7:22,2.69,19.621,8.301,0.947
MiniDot1,Tank24,1773768240,3/17/26 7:24,2.69,19.621,8.311,0.947
MiniDot1,Tank24,1773768360,3/17/26 7:26,2.69,19.638,8.302,0.946
MiniDot1,Tank24,1773768480,3/17/26 7:28,2.69,19.63,8.304,0.947
MiniDot1,Tank24,1773768600,3/17/26 7:30,2.69,19.655,8.286,0.946
MiniDot1,Tank24,1773768720,3/17/26 7:32,2.69,19.663,8.299,0.947
MiniDot1,Tank24,1773768840,3/17/26 7:34,2.69,19.671,8.292,0.946
MiniDot1,Tank24,1773768960,3/17/26 7:36,2.69,19.646,8.307,0.947
MiniDot1,Tank24,1773769080,3/17/26 7:38,2.69,19.68,8.296,0.947
MiniDot1,Tank24,1773769200,3/17/26 7:40,2.69,19.68,8.292,0.946
MiniDot1,Tank24,1773769320,3/17/26 7:42,2.69,19.68,8.292,0.946
MiniDot1,Tank24,1773769440,3/17/26 7:44,2.69,19.68,8.288,0.946
MiniDot1,Tank24,1773769560,3/17/26 7:46,2.69,19.705,8.283,0.946
MiniDot1,Tank24,1773769680,3/17/26 7:48,2.69,19.705,8.294,0.947
MiniDot1,Tank24,1773769800,3/17/26 7:50,2.69,19.697,8.299,0.947
MiniDot1,Tank24,1773769920,3/17/26 7:52,2.69,19.705,8.284,0.946
MiniDot1,Tank24,1773770040,3/17/26 7:54,2.69,19.722,8.288,0.946
MiniDot1,Tank24,1773770160,3/17/26 7:56,2.69,19.722,8.289,0.947
MiniDot1,Tank24,1773770280,3/17/26 7:58,2.69,19.713,8.294,0.947
MiniDot1,Tank24,1773770400,3/17/26 8:00,2.69,19.722,8.282,0.947
MiniDot1,Tank24,1773770520,3/17/26 8:02,2.69,19.747,8.287,0.947
MiniDot1,Tank24,1773770640,3/17/26 8:04,2.69,19.755,8.28,0.946
MiniDot1,Tank24,1773770760,3/17/26 8:06,2.69,19.764,8.27,0.946
MiniDot1,Tank24,1773770880,3/17/26 8:08,2.69,19.73,8.287,0.946
MiniDot1,Tank24,1773771000,3/17/26 8:10,2.69,19.764,8.279,0.946
MiniDot1,Tank24,1773771120,3/17/26 8:12,2.69,19.772,8.175,0.948
MiniDot1,Tank24,1773771240,3/17/26 8:14,2.69,19.537,5.739,0.937
MiniDot1,Tank24,1773771360,3/17/26 8:16,2.69,19.663,1.679,0.797
MiniDot1,Tank24,1773771480,3/17/26 8:18,2.69,19.713,1.944,0.808
MiniDot1,Tank24,1773771600,3/17/26 8:20,2.69,19.755,1.827,0.814
MiniDot1,Tank24,1773771720,3/17/26 8:22,2.69,19.772,1.768,0.826
MiniDot1,Tank24,1773771840,3/17/26 8:24,2.69,19.805,1.702,0.837
MiniDot1,Tank24,1773771960,3/17/26 8:26,2.69,19.805,1.668,0.847
MiniDot1,Tank24,1773772080,3/17/26 8:28,2.69,19.831,1.595,0.856
MiniDot1,Tank24,1773772200,3/17/26 8:30,2.68,19.864,1.522,0.865
MiniDot1,Tank24,1773772320,3/17/26 8:32,2.68,19.847,1.466,0.874
MiniDot1,Tank24,1773772440,3/17/26 8:34,2.69,19.881,1.397,0.881
MiniDot1,Tank24,1773772560,3/17/26 8:36,2.69,19.864,8.098,0.945
MiniDot1,Tank24,1773772680,3/17/26 8:38,2.68,19.814,8.121,0.945
MiniDot1,Tank24,1773772800,3/17/26 8:40,2.68,19.814,8.13,0.946
MiniDot1,Tank24,1773791340,3/17/26 13:49,2.68,22.59,7.839,0.947
MiniDot1,Tank24,1773791460,3/17/26 13:51,2.68,22.924,7.796,0.948
MiniDot1,Tank24,1773791580,3/17/26 13:53,2.68,23.376,7.695,0.947
MiniDot1,Tank24,1773791700,3/17/26 13:55,2.68,23.577,7.66,0.947
MiniDot1,Tank24,1773791820,3/17/26 13:57,2.68,23.887,7.727,0.945
MiniDot1,Tank24,1773791940,3/17/26 13:59,2.68,24.155,7.78,0.945
MiniDot1,Tank24,1773792060,3/17/26 14:01,2.68,24.29,7.755,0.945
MiniDot1,Tank24,1773792180,3/17/26 14:03,2.68,24.374,7.728,0.944
MiniDot1,Tank24,1773792300,3/17/26 14:05,2.68,24.407,7.713,0.943
MiniDot1,Tank24,1773792420,3/17/26 14:07,2.68,24.416,7.746,0.945
MiniDot1,Tank24,1773792540,3/17/26 14:09,2.68,24.432,7.74,0.945
MiniDot1,Tank24,1773792660,3/17/26 14:11,2.68,24.424,7.748,0.945
MiniDot1,Tank24,1773792780,3/17/26 14:13,2.68,24.458,7.739,0.944
MiniDot1,Tank24,1773792900,3/17/26 14:15,2.68,24.449,7.75,0.945
MiniDot1,Tank24,1773793020,3/17/26 14:17,2.68,24.458,7.763,0.945
MiniDot1,Tank24,1773793140,3/17/26 14:19,2.68,24.474,7.749,0.945
MiniDot1,Tank24,1773793260,3/17/26 14:21,2.68,24.483,7.755,0.945
MiniDot1,Tank24,1773793380,3/17/26 14:23,2.68,24.474,7.757,0.945
MiniDot1,Tank24,1773793500,3/17/26 14:25,2.68,24.491,7.747,0.945
MiniDot1,Tank24,1773793620,3/17/26 14:27,2.68,24.466,7.769,0.945
MiniDot1,Tank24,1773793740,3/17/26 14:29,2.68,24.508,7.754,0.944
MiniDot1,Tank24,1773793860,3/17/26 14:31,2.68,24.508,7.782,0.946
MiniDot1,Tank24,1773793980,3/17/26 14:33,2.68,24.533,7.77,0.944
MiniDot1,Tank24,1773794100,3/17/26 14:35,2.68,24.558,7.778,0.945
MiniDot1,Tank24,1773794220,3/17/26 14:37,2.68,24.55,7.8,0.946
MiniDot1,Tank24,1773794340,3/17/26 14:39,2.68,24.575,7.792,0.945
MiniDot1,Tank24,1773794460,3/17/26 14:41,2.68,24.6,7.775,0.944
MiniDot1,Tank24,1773794580,3/17/26 14:43,2.68,24.592,7.797,0.945
MiniDot1,Tank24,1773794700,3/17/26 14:45,2.68,24.617,7.798,0.945
MiniDot1,Tank24,1773794820,3/17/26 14:47,2.68,24.617,7.802,0.945
MiniDot1,Tank24,1773794940,3/17/26 14:49,2.68,24.642,7.811,0.945
MiniDot1,Tank24,1773795060,3/17/26 14:51,2.68,24.642,7.819,0.945
MiniDot1,Tank24,1773795180,3/17/26 14:53,2.68,24.676,7.818,0.945
MiniDot1,Tank24,1773795300,3/17/26 14:55,2.68,24.684,7.808,0.944
MiniDot1,Tank24,1773795420,3/17/26 14:57,2.68,24.693,7.836,0.947
MiniDot1,Tank24,1773795540,3/17/26 14:59,2.68,24.693,7.824,0.946
MiniDot1,Tank24,1773795660,3/17/26 15:01,2.68,24.684,7.806,0.945
MiniDot1,Tank24,1773795780,3/17/26 15:03,2.68,24.684,7.806,0.946
MiniDot1,Tank24,1773795900,3/17/26 15:05,2.68,24.693,7.8,0.946
MiniDot1,Tank24,1773796020,3/17/26 15:07,2.68,24.684,7.789,0.945
MiniDot1,Tank24,1773796140,3/17/26 15:09,2.68,24.709,7.782,0.945
MiniDot1,Tank24,1773796260,3/17/26 15:11,2.68,24.709,7.787,0.945
MiniDot1,Tank24,1773796380,3/17/26 15:13,2.68,24.709,7.778,0.945
MiniDot1,Tank24,1773796500,3/17/26 15:15,2.68,24.718,7.792,0.946
MiniDot1,Tank24,1773796620,3/17/26 15:17,2.68,24.709,7.776,0.945
MiniDot1,Tank24,1773796740,3/17/26 15:19,2.68,24.709,7.793,0.946
MiniDot1,Tank24,1773796860,3/17/26 15:21,2.68,24.726,7.79,0.946
MiniDot1,Tank24,1773796980,3/17/26 15:23,2.68,24.718,7.784,0.945
MiniDot1,Tank24,1773797100,3/17/26 15:25,2.68,24.726,7.781,0.945
MiniDot1,Tank24,1773797220,3/17/26 15:27,2.68,24.726,7.785,0.945
MiniDot1,Tank24,1773797340,3/17/26 15:29,2.68,24.735,7.767,0.945
MiniDot1,Tank24,1773797460,3/17/26 15:31,2.68,24.751,7.771,0.945
MiniDot1,Tank24,1773797580,3/17/26 15:33,2.68,24.743,7.758,0.945
MiniDot1,Tank24,1773797700,3/17/26 15:35,2.68,24.743,7.755,0.945
MiniDot1,Tank24,1773797820,3/17/26 15:37,2.68,24.735,7.764,0.946
MiniDot1,Tank24,1773797940,3/17/26 15:39,2.68,24.735,7.768,0.946
MiniDot1,Tank24,1773798060,3/17/26 15:41,2.68,24.701,7.756,0.945
MiniDot1,Tank24,1773798180,3/17/26 15:43,2.68,24.718,7.74,0.945
MiniDot1,Tank24,1773798300,3/17/26 15:45,2.68,24.726,7.728,0.945
MiniDot1,Tank24,1773798420,3/17/26 15:47,2.68,24.726,7.74,0.946
MiniDot1,Tank24,1773798540,3/17/26 15:49,2.68,24.709,7.718,0.944
MiniDot1,Tank24,1773798660,3/17/26 15:51,2.68,24.709,7.712,0.945
MiniDot1,Tank24,1773798780,3/17/26 15:53,2.68,24.693,7.715,0.945
MiniDot1,Tank24,1773798900,3/17/26 15:55,2.68,24.693,7.708,0.945
MiniDot1,Tank24,1773799020,3/17/26 15:57,2.68,24.684,7.703,0.945
MiniDot1,Tank24,1773799140,3/17/26 15:59,2.68,24.684,7.698,0.946
MiniDot1,Tank24,1773799260,3/17/26 16:01,2.68,24.651,7.703,0.946
MiniDot1,Tank24,1773799380,3/17/26 16:03,2.68,24.667,7.677,0.945
MiniDot1,Tank24,1773799500,3/17/26 16:05,2.68,24.642,7.668,0.945
MiniDot1,Tank24,1773799620,3/17/26 16:07,2.68,24.625,7.676,0.945
MiniDot1,Tank24,1773799740,3/17/26 16:09,2.68,24.634,7.653,0.945
MiniDot1,Tank24,1773799860,3/17/26 16:11,2.68,24.609,7.679,0.946
MiniDot1,Tank24,1773799980,3/17/26 16:13,2.68,24.609,7.664,0.945
MiniDot1,Tank24,1773800100,3/17/26 16:15,2.68,24.609,7.661,0.946
MiniDot1,Tank24,1773800220,3/17/26 16:17,2.68,24.6,7.671,0.947
MiniDot1,Tank24,1773800340,3/17/26 16:19,2.68,24.583,7.647,0.944
MiniDot1,Tank24,1773800460,3/17/26 16:21,2.68,24.6,7.661,0.945
MiniDot1,Tank24,1773800580,3/17/26 16:23,2.68,24.583,7.666,0.946
MiniDot1,Tank24,1773800700,3/17/26 16:25,2.68,24.583,7.655,0.946
